Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Genre
Beetlebum,Blur,1997,305146,4,0.487,0.648,0,-5.14,1,0.0278,0.0351,0.000201,0.266,0.704,89.573,46,Alt. Rock
Coffee & TV,Blur,1999,358773,4,0.743,0.742,2,-10.117,1,0.0367,0.051,0.234,0.0987,0.706,121.604,62,Alt. Rock
Tender,Blur,1999,461946,4,0.587,0.566,9,-9.932,1,0.0276,0.469,0,0.0644,0.528,76.055,58,Alt. Rock
The Distance,CAKE,1996,179600,4,0.457,0.752,11,-8.121,0,0.09,0.00959,0.00136,0.0573,0.897,183.578,68,Alt. Rock
Stickshifts and Safetybelts,CAKE,1996,128653,4,0.659,0.682,1,-9.668,0,0.137,0.416,0,0.314,0.913,141.556,44,Alt. Rock
Short Skirt / Long Jacket,CAKE,1996,204128,4,0.771,0.809,2,-10.029,1,0.0461,0.003,0.0223,0.0252,0.886,120.038,65,Alt. Rock
Frank Sinatra,CAKE,1996,241026,4,0.675,0.511,7,-9.208,1,0.0415,0.175,0.0261,0.183,0.569,114.201,51,Alt. Rock
I Will Survive,CAKE,1996,310333,4,0.501,0.689,4,-7.952,0,0.0318,0.306,0.000169,0.133,0.873,95.758,61,Alt. Rock
Jolene,CAKE,1996,319200,4,0.498,0.576,8,-9.853,0,0.0411,0.305,0.0000173,0.544,0.847,94.232,40,Alt. Rock
Never There,CAKE,1998,164266,4,0.761,0.735,9,-8.171,0,0.043,0.0426,0.0838,0.0917,0.592,125.815,61,Alt. Rock
Wheels,CAKE,2001,198200,4,0.696,0.476,4,-7.955,0,0.0373,0.128,0,0.121,0.963,161.311,45,Alt. Rock
Comfort Eagle,CAKE,2001,220202,4,0.735,0.692,11,-9.671,1,0.0582,0.0932,0,0.217,0.894,120.99,53,Alt. Rock
Sheep Go To Heaven,CAKE,2001,228093,4,0.639,0.679,4,-8.867,0,0.0401,0.0182,0.0000108,0.117,0.784,102.592,48,Alt. Rock
Rescue,Echo & the Bunnymen,1980,271866,4,0.462,0.682,4,-10.902,0,0.0567,0.0931,0.00000182,0.894,0.618,129.8,3,Alt. Rock
The Cutter,Echo & the Bunnymen,1983,232746,4,0.471,0.955,7,-5.219,1,0.121,0.00485,0.00000144,0.162,0.35,139.266,49,Alt. Rock
Seven Seas,Echo & the Bunnymen,1984,199386,4,0.556,0.829,0,-5.123,1,0.0373,0.105,0.0000722,0.29,0.793,134.382,37,Alt. Rock
Over the Wall,Echo & the Bunnymen,1984,366506,4,0.498,0.875,0,-9.88,1,0.0334,0.000264,0.0877,0.0775,0.63,133.089,19,Alt. Rock
The Killing Moon,Echo & the Bunnymen,1984,348293,4,0.568,0.829,7,-7.066,1,0.0303,0.218,0.00418,0.0976,0.79,124.201,56,Alt. Rock
Bring on the Dancing Horses,Echo & the Bunnymen,1985,235800,4,0.568,0.926,2,-5.274,1,0.0405,0.0064,0.00486,0.315,0.755,118.448,54,Alt. Rock
Lips Like Sugar,Echo & the Bunnymen,1987,291866,4,0.552,0.934,4,-4.039,1,0.0299,0.00448,0.0212,0.258,0.863,130.001,53,Alt. Rock
Never Stop,Echo & the Bunnymen,1990,285866,4,0.667,0.867,4,-7.284,0,0.0352,0.438,0.01,0.134,0.916,137.185,33,Alt. Rock
Nothing Lasts Forever,Echo & the Bunnymen,1997,235119,4,0.432,0.654,0,-5.345,1,0.0273,0.028,0.0000133,0.176,0.399,83.85,44,Alt. Rock
